label,output,weight_sum_0,weight_sum_1,weight_sum_2,weight_sum_3,weight_sum_4,weight_sum_5,cluster_count_0,cluster_count_1,cluster_count_2,cluster_count_3,cluster_count_4,cluster_count_5,cluster_soft_count_0,cluster_soft_count_1,cluster_soft_count_2,cluster_soft_count_3,cluster_soft_count_4,cluster_soft_count_5,grad_cam_pp_count,intersection_count_grad_cam_pp_0,union_count_grad_cam_pp_0,intersection_soft_count_grad_cam_pp_0,union_soft_count_grad_cam_pp_0,correlation_grad_cam_pp_0,intersection_count_grad_cam_pp_1,union_count_grad_cam_pp_1,intersection_soft_count_grad_cam_pp_1,union_soft_count_grad_cam_pp_1,correlation_grad_cam_pp_1,intersection_count_grad_cam_pp_2,union_count_grad_cam_pp_2,intersection_soft_count_grad_cam_pp_2,union_soft_count_grad_cam_pp_2,correlation_grad_cam_pp_2,intersection_count_grad_cam_pp_3,union_count_grad_cam_pp_3,intersection_soft_count_grad_cam_pp_3,union_soft_count_grad_cam_pp_3,correlation_grad_cam_pp_3,intersection_count_grad_cam_pp_4,union_count_grad_cam_pp_4,intersection_soft_count_grad_cam_pp_4,union_soft_count_grad_cam_pp_4,correlation_grad_cam_pp_4,intersection_count_grad_cam_pp_5,union_count_grad_cam_pp_5,intersection_soft_count_grad_cam_pp_5,union_soft_count_grad_cam_pp_5,correlation_grad_cam_pp_5,grad_cam_count,intersection_count_grad_cam_0,union_count_grad_cam_0,intersection_soft_count_grad_cam_0,union_soft_count_grad_cam_0,correlation_grad_cam_0,intersection_count_grad_cam_1,union_count_grad_cam_1,intersection_soft_count_grad_cam_1,union_soft_count_grad_cam_1,correlation_grad_cam_1,intersection_count_grad_cam_2,union_count_grad_cam_2,intersection_soft_count_grad_cam_2,union_soft_count_grad_cam_2,correlation_grad_cam_2,intersection_count_grad_cam_3,union_count_grad_cam_3,intersection_soft_count_grad_cam_3,union_soft_count_grad_cam_3,correlation_grad_cam_3,intersection_count_grad_cam_4,union_count_grad_cam_4,intersection_soft_count_grad_cam_4,union_soft_count_grad_cam_4,correlation_grad_cam_4,intersection_count_grad_cam_5,union_count_grad_cam_5,intersection_soft_count_grad_cam_5,union_soft_count_grad_cam_5,correlation_grad_cam_5
0.0,-4.027932643890381,4.1721673011779785,0.8386717438697815,6.676642417907715,1.169216513633728,1.111185073852539,23.460899353027344,386,36,150,28,20,404,243,124,300,168,256,550,192,1,578,54,435,-0.05502727197293571,31,228,104,316,0.8762655795883506,7,342,39,492,-0.05688845677012395,28,220,104,360,0.7812109616457527,20,212,88,448,0.41618592875497384,105,596,173,742,-0.03389604445058416,104,0,490,23,347,-0.045704317908037126,31,140,68,228,0.8937853528829819,4,254,25,404,-0.04758287229081304,28,132,59,272,0.7432394846452361,20,124,49,360,0.39554677721604453,21,508,86,654,-0.0546174457480684
0.0,-8.163853645324707,21.684249877929688,1.0458253622055054,23.226573944091797,0.09460505843162537,0.09184900671243668,38.54008483886719,290,71,195,7,5,456,517,141,425,114,146,668,130,12,420,46,647,-0.09385730862851598,65,201,114,271,0.9108864896650574,3,325,36,555,-0.10026074439680137,3,137,23,244,0.2947712778010213,4,135,49,276,0.31974225747131263,43,586,113,798,-0.0689444780024146,70,1,360,22,587,-0.08122619270346242,57,141,68,211,0.8515184437861815,1,265,18,495,-0.0840737581878722,3,77,12,184,0.14785017417278334,3,75,20,216,0.19680014453471428,5,526,59,738,-0.08411231306634476
0.0,-6.369709014892578,17.821386337280273,0.7281429767608643,14.921954154968262,0.20445896685123444,0.16826733946800232,12.375910758972168,479,38,235,2,6,264,351,82,425,181,137,459,82,1,561,16,433,-0.048863657443322155,38,120,66,164,0.7822716113371714,3,317,10,507,-0.08074579743932474,1,84,29,263,0.3541034325035211,6,88,34,219,0.5660785807999168,33,346,73,541,0.10040135134079291,49,1,528,14,400,-0.03756065654532361,35,87,46,131,0.6185974958867264,2,284,8,474,-0.06212596042610732,1,51,12,230,0.1516453374042052,6,55,18,186,0.5964549550004974,4,313,40,508,-0.0458568565033388
0.0,-6.36604118347168,20.863567352294922,0.1286087930202484,15.630265235900879,0.1153167113661766,0.031682390719652176,7.3314313888549805,527,6,198,9,1,283,420,22,498,175,97,441,32,4,559,18,452,-0.025992969326090253,5,38,18,54,0.8365300155949789,4,230,21,530,-0.031178698931782562,9,41,25,207,0.8078344135745676,1,33,12,129,0.7406293479294728,9,315,26,473,-0.010942330184032694,14,0,541,6,434,-0.02161925171155248,5,20,12,36,0.8397802766628776,0,212,10,512,-0.02695128753208018,6,23,11,189,0.7884763888556265,1,15,7,111,0.7387720728112198,2,297,11,455,-0.02253110559812937
0.0,-7.577935695648193,87.28472137451172,0.0032952309120446444,56.38327407836914,0.01572282239794731,0.09147189557552338,5.540102005004883,433,11,560,0,15,5,838,93,867,286,63,280,27,4,460,8,865,-0.0840561789211071,4,38,15,120,0.2998335896905267,3,587,21,894,-0.1007958078067009,0,27,0,313,-0.04667012983482874,15,42,24,90,0.8983277782490191,1,32,22,307,-0.04164541497480629,25,2,458,6,863,-0.0819444474502012,4,36,14,118,0.3307894851241277,3,585,21,892,-0.09725230606217102,0,25,0,311,-0.044857294790367305,15,40,23,88,0.8864393847670008,1,30,21,305,-0.04073973893809654
0.0,-7.005163669586182,51.321510314941406,0.01903611049056053,70.25918579101562,0.013291902840137482,0.041229818016290665,2.984462261199951,257,18,732,0,8,9,835,160,975,258,65,291,42,9,299,21,877,-0.08200899380303159,8,60,34,202,0.3214079694493612,17,774,39,1017,-0.12253501904800555,0,42,0,300,-0.04809512742642867,8,50,31,107,0.8967401023704711,0,51,25,333,-0.04567512087899768,29,7,286,13,864,-0.07550237394909438,8,47,24,189,0.30685484497420273,6,761,26,1004,-0.11294313197498669,0,29,0,287,-0.043884121895082964,8,37,22,94,0.8914129699220635,0,38,19,320,-0.04186533184374042
0.0,-8.521464347839355,5.231342315673828,0.1950535923242569,8.206196784973145,0.17462031543254852,0.41655391454696655,16.314781188964844,450,27,178,2,17,350,396,77,355,162,202,549,52,2,502,14,448,-0.03255653290600986,5,79,26,129,0.33432268300977985,1,230,7,407,-0.03034226220476814,2,54,14,214,0.3632535382312705,10,69,42,254,0.9373765704331738,32,402,50,601,0.014501096392605866,15,0,465,2,411,-0.020819478231714095,5,42,10,92,0.2607198793004215,0,193,0,370,-0.01895628613780475,2,17,3,177,0.16437861021908515,8,32,14,217,0.9324099456489329,0,365,15,564,-0.017084804226063757
0.0,-10.793292999267578,55.1711540222168,0.8026201725006104,20.06422233581543,0.33648359775543213,1.2067965269088745,39.89712905883789,322,34,135,27,38,468,581,144,418,154,265,670,201,7,523,89,782,-0.1426606156399783,28,235,118,345,0.6195201129939828,16,336,65,619,-0.08452395521140406,26,228,53,355,0.45309940046215047,38,239,132,466,0.6183614558480193,86,669,171,871,-0.09147951157492204,107,4,429,46,688,-0.11540570686523637,28,141,68,251,0.5887839704220722,7,242,33,525,-0.07571727399196718,22,134,34,261,0.23649881809592224,36,145,77,372,0.6972493666539087,10,575,84,777,-0.10006517570708409
0.0,-11.166825294494629,50.771881103515625,0.3610987663269043,2.6114635467529297,0.1259712278842926,0.2816038429737091,30.07142448425293,544,30,99,2,4,345,478,76,360,215,192,575,69,3,613,24,547,-0.06841016998157927,21,99,40,145,0.873711917188485,0,168,7,429,-0.0496987199817379,2,71,9,284,0.3505404671835391,3,73,57,261,0.7539344658107703,40,414,66,644,0.007361953207792175,33,0,577,18,511,-0.05238148933313086,21,63,32,109,0.9137204479143046,0,132,5,393,-0.03744651892490066,2,35,6,248,0.304388621255166,3,37,28,225,0.6759736268659388,7,378,31,608,-0.049486922348052555
0.0,-5.7341790199279785,0.1113106831908226,0.590549647808075,0.28090810775756836,0.31212055683135986,0.572881817817688,38.652061462402344,433,10,30,0,4,547,168,76,224,85,204,589,95,0,528,16,263,0.030419058373098766,9,105,55,171,0.5028387544885682,0,125,10,319,-0.04059594249315656,0,95,29,180,0.3124133980027484,4,99,40,299,0.8285947057160328,82,642,95,684,0.10679324039709141,13,0,446,4,181,0.001559302214559237,8,23,13,89,0.30165030014336486,0,43,0,237,-0.02214818333163085,0,13,2,98,0.01069444616161585,4,17,5,217,0.7143197007050595,1,560,13,602,-0.023901838581832834
0.0,-5.8675217628479,17.594921112060547,0.04420509561896324,3.468356132507324,0.025986026972532272,0.09321872889995575,18.66084098815918,417,58,123,5,22,399,455,134,388,142,171,629,80,1,497,16,535,-0.059620070290284544,18,138,39,214,0.7268611617916579,7,203,40,468,-0.046376661657355316,1,85,7,222,-0.006736867291687713,22,102,56,251,0.4505758016397171,31,479,68,709,-0.050036654366777907,48,0,465,6,503,-0.05162871862494721,18,106,28,182,0.6155525841511728,6,171,32,436,-0.04080984406170033,1,53,3,190,-0.009182148194621733,21,70,35,219,0.33976257718071945,2,447,37,677,-0.06699423479152555
0.0,-5.104772090911865,26.386850357055664,1.9008288383483887,12.800799369812012,0.27306562662124634,1.0707075595855713,32.447265625,272,108,279,3,40,322,557,270,572,203,203,568,195,7,467,64,752,-0.09568261587818358,65,303,143,465,0.7569929196042504,15,474,59,767,-0.10226722166870517,3,198,29,398,0.6902108509328566,39,235,127,398,0.24995035307412494,66,517,176,763,-0.05566409485106917,123,1,395,31,680,-0.08748683075407211,61,231,102,393,0.7585807751755732,9,402,49,695,-0.09507812591621767,3,126,15,326,0.6716911292636393,39,163,77,326,0.18652285815738762,10,445,111,691,-0.07023400657800499
0.0,-8.970711708068848,12.842187881469727,0.8664583563804626,3.240518093109131,0.07576720416545868,1.2001327276229858,44.9232063293457,429,13,123,3,13,443,388,73,329,205,222,579,79,2,508,17,467,-0.04862704689153325,11,92,50,152,0.9473036001091869,1,202,7,408,-0.048971960488912426,3,82,22,284,0.07705397029796014,9,92,43,301,0.8277830640666731,53,522,76,658,0.01166864111619495,23,0,452,3,411,-0.0366870824911824,11,36,21,96,0.9029062663949732,1,146,4,352,-0.036793786649779954,2,26,3,228,0.0008025883152215738,8,36,18,245,0.7654947308439046,1,466,22,602,-0.0457076159957492
