label,output,weight_sum_0,weight_sum_1,weight_sum_2,weight_sum_3,weight_sum_4,weight_sum_5,cluster_count_0,cluster_count_1,cluster_count_2,cluster_count_3,cluster_count_4,cluster_count_5,intersection_count_grad_cam_pp_0,intersection_count_grad_cam_pp_1,intersection_count_grad_cam_pp_2,intersection_count_grad_cam_pp_3,intersection_count_grad_cam_pp_4,intersection_count_grad_cam_pp_5,union_count_grad_cam_pp_0,union_count_grad_cam_pp_1,union_count_grad_cam_pp_2,union_count_grad_cam_pp_3,union_count_grad_cam_pp_4,union_count_grad_cam_pp_5,intersection_count_grad_cam_0,intersection_count_grad_cam_1,intersection_count_grad_cam_2,intersection_count_grad_cam_3,intersection_count_grad_cam_4,intersection_count_grad_cam_5,union_count_grad_cam_0,union_count_grad_cam_1,union_count_grad_cam_2,union_count_grad_cam_3,union_count_grad_cam_4,union_count_grad_cam_5
0.0,-5.042074680328369,5.2515668869018555,0.0003677569911815226,4.604640007019043,0.0348755344748497,0.002493459265679121,27.57126808166504,172,0,270,0,0,582,0,174,0,2,2,272,0,2,0,2,0,584,0,174,0,2,2,272,0,2,0,2,0,584
0.0,-6.656189441680908,64.83958435058594,0.680025041103363,9.39894962310791,0.6177915930747986,1.9542526006698608,25.88768196105957,560,15,91,30,25,303,6,708,12,163,2,239,30,178,25,173,73,451,1,631,12,86,1,162,29,101,19,96,9,374
0.0,-7.70913028717041,5.343548774719238,0.27289456129074097,1.473159909248352,0.23465664684772491,0.48899731040000916,76.4565200805664,260,32,103,14,24,591,4,356,15,128,1,199,14,110,23,120,39,687,2,321,15,93,0,164,13,75,23,85,8,652
0.0,-4.731842041015625,1.7541075944900513,0.0,1.9468190670013428,0.02349787950515747,0.001299059484153986,21.89002227783203,341,0,160,0,0,523,0,341,0,0,0,160,0,0,0,0,0,523,0,341,0,0,0,160,0,0,0,0,0,523
0.0,-8.955058097839355,5.8776164054870605,0.39971792697906494,5.602567672729492,1.2690379619598389,0.8690496683120728,28.44245719909668,469,34,109,35,20,357,4,576,30,141,5,216,27,142,10,127,31,464,1,538,27,103,1,178,27,104,9,89,4,426
0.0,-7.456064701080322,5.971182346343994,0.00028308486798778176,5.720109939575195,0.045591793954372406,0.000566468108445406,33.8536376953125,255,0,231,0,0,538,1,256,0,1,0,232,0,1,0,1,0,539,0,255,0,0,0,231,0,0,0,0,0,538
0.0,-7.343890190124512,17.171207427978516,0.05510455742478371,3.0392446517944336,0.11592479050159454,0.3106302320957184,9.738970756530762,543,24,140,7,14,296,0,583,12,64,1,180,4,47,13,54,10,336,0,569,10,50,1,166,3,33,12,40,0,322
0.0,-6.579715728759766,36.872623443603516,0.002782493829727173,32.02189636230469,0.03357049450278282,0.0005280240438878536,9.33377456665039,319,0,501,0,0,204,0,322,0,3,0,504,0,3,0,3,3,207,0,319,0,0,0,501,0,0,0,0,0,204
0.0,-6.988596439361572,64.94683074951172,0.3111923933029175,22.23654556274414,0.2424355000257492,0.30175408720970154,10.557280540466309,550,14,202,9,5,244,0,610,14,74,2,262,9,69,5,65,30,304,0,577,13,41,0,229,7,36,5,32,2,271
0.0,-5.945775032043457,9.548033714294434,0.25462111830711365,19.306842803955078,0.00632597878575325,0.24319110810756683,10.969893455505371,251,81,283,0,43,366,4,368,57,198,8,400,0,117,42,160,6,483,1,357,57,187,4,389,0,106,42,149,2,472
0.0,-7.766748905181885,85.52336883544922,0.004844830837100744,64.7662124633789,0.1055084615945816,0.002853354439139366,5.351114749908447,453,2,433,5,1,130,1,458,0,7,0,438,4,10,0,6,0,135,0,457,0,6,0,437,4,9,0,5,0,134
0.0,-6.644906044006348,9.596383094787598,1.874904751777649,12.361268997192383,0.3327067792415619,0.9230362772941589,38.47861099243164,294,73,116,11,21,509,2,535,72,314,10,357,11,252,19,262,127,750,0,407,70,186,5,229,11,124,16,134,11,622
0.0,-6.369574546813965,90.1541976928711,0.2746641933917999,89.76453399658203,0.1304425299167633,0.026233244687318802,11.08924388885498,402,12,589,4,1,16,0,419,11,29,1,606,4,21,1,18,0,33,0,418,11,28,0,605,4,20,1,17,0,32
0.0,-7.2475409507751465,54.31837463378906,1.1108267307281494,56.58329772949219,0.7145669460296631,0.2593318521976471,17.805042266845703,260,71,354,23,12,304,4,423,64,234,3,517,23,186,9,175,60,467,1,373,63,184,0,467,22,136,9,125,18,417
0.0,-8.791613578796387,80.96391296386719,0.0005354369641281664,103.32206726074219,0.012368929572403431,0.0009679128997959197,7.244809150695801,360,0,558,0,0,106,1,378,0,18,13,576,0,18,0,18,4,124,0,367,0,7,4,565,0,7,0,7,3,113
0.0,-6.7386956214904785,46.29899978637695,0.6461750864982605,13.438591957092285,0.13206350803375244,0.2082664519548416,24.780696868896484,484,28,98,9,4,401,3,555,27,99,1,169,6,80,4,75,30,472,0,523,27,67,0,137,4,48,4,43,4,440
0.0,-7.900843143463135,27.802427291870117,1.2695603370666504,36.219818115234375,1.0857250690460205,2.0432891845703125,64.4054183959961,213,41,245,12,32,481,13,398,39,226,22,430,12,197,32,217,67,666,3,302,37,130,4,334,11,101,26,121,8,570
0.0,-4.091212272644043,4.1721673011779785,0.8386717438697815,6.676642417907715,1.169216513633728,1.111185073852539,23.460899353027344,386,36,150,28,20,404,0,545,28,195,7,309,22,187,19,179,83,563,0,469,27,119,4,233,22,111,19,103,11,487
0.0,-9.126574516296387,21.684249877929688,1.0458253622055054,23.226573944091797,0.09460505843162537,0.09184900671243668,38.54008483886719,290,71,195,7,5,456,12,417,59,198,10,322,7,134,4,132,35,583,4,375,58,156,4,280,6,92,4,90,9,541
0.0,-8.060933113098145,17.821386337280273,0.7281429767608643,14.921954154968262,0.20445896685123444,0.16826733946800232,12.375910758972168,479,38,235,2,6,264,1,566,36,125,2,322,2,89,6,93,40,351,1,528,35,87,0,284,2,51,6,55,5,313
0.0,-6.407060146331787,20.863567352294922,0.1286087930202484,15.630265235900879,0.1153167113661766,0.031682390719652176,7.3314313888549805,527,6,198,9,1,283,4,557,5,36,4,228,7,39,1,31,9,313,0,539,5,18,0,210,5,21,1,13,1,295
0.0,-6.830098628997803,87.28472137451172,0.0032952309120446444,56.38327407836914,0.01572282239794731,0.09147189557552338,5.540102005004883,433,11,560,0,15,5,4,495,11,73,32,622,0,62,13,77,2,67,4,479,11,57,17,606,0,46,13,61,1,51
0.0,-6.379460334777832,51.321510314941406,0.01903611049056053,70.25918579101562,0.013291902840137482,0.041229818016290665,2.984462261199951,257,18,732,0,8,9,50,453,18,214,120,928,0,196,8,204,0,205,23,370,18,131,64,845,0,113,8,121,0,122
0.0,-6.50136661529541,5.231342315673828,0.1950535923242569,8.206196784973145,0.17462031543254852,0.41655391454696655,16.314781188964844,450,27,178,2,17,350,2,545,24,122,8,273,2,97,17,112,42,445,0,501,24,78,2,229,2,53,17,68,6,401
0.0,-10.686724662780762,55.1711540222168,0.8026201725006104,20.06422233581543,0.33648359775543213,1.2067965269088745,39.89712905883789,322,34,135,27,38,468,7,542,34,254,18,355,27,247,38,258,96,688,4,434,34,146,5,247,26,139,37,150,6,580
0.0,-8.745646476745605,50.771881103515625,0.3610987663269043,2.6114635467529297,0.1259712278842926,0.2816038429737091,30.07142448425293,544,30,99,2,4,345,2,599,15,85,0,154,2,57,4,59,32,400,0,561,12,47,0,116,1,19,3,21,1,362
0.0,-4.020525932312012,0.1113106831908226,0.590549647808075,0.28090810775756836,0.31212055683135986,0.572881817817688,38.652061462402344,433,10,30,0,4,547,0,547,10,124,0,144,0,114,4,118,100,661,0,453,10,30,0,50,0,20,4,24,6,567
0.0,-6.41339111328125,17.594921112060547,0.04420509561896324,3.468356132507324,0.025986026972532272,0.09321872889995575,18.66084098815918,417,58,123,5,22,399,33,598,57,239,25,304,5,186,21,203,40,580,24,544,57,185,18,250,5,132,20,149,3,526
0.0,-5.708981037139893,26.386850357055664,1.9008288383483887,12.800799369812012,0.27306562662124634,1.0707075595855713,32.447265625,272,108,279,3,40,322,9,481,69,317,23,488,2,212,40,249,66,531,2,400,66,236,12,407,2,131,40,168,6,450
0.0,-8.193093299865723,12.842187881469727,0.8664583563804626,3.240518093109131,0.07576720416545868,1.2001327276229858,44.9232063293457,429,13,123,3,13,443,5,509,13,93,1,203,0,83,9,93,52,523,3,455,13,39,1,149,0,29,8,39,1,469
0.0,-8.56949234008789,41.741912841796875,0.9428586959838867,18.615673065185547,0.18450023233890533,1.0956811904907227,21.708860397338867,343,78,270,1,59,273,24,593,72,328,66,520,1,251,46,309,41,523,7,497,70,232,22,424,1,155,44,213,10,427
0.0,-8.78598403930664,96.39973449707031,0.3630320131778717,23.058992385864258,0.04778397083282471,0.4512942433357239,28.164966583251953,601,18,225,0,14,166,5,667,16,84,10,291,0,66,12,80,23,232,2,636,15,53,5,260,0,35,12,49,1,201
0.0,-5.785770893096924,29.905773162841797,1.1268917322158813,16.557710647583008,0.608528733253479,2.395810842514038,40.682350158691406,258,52,227,8,45,434,3,448,47,242,9,417,5,198,35,235,91,624,0,353,46,147,1,322,5,103,32,140,11,529
0.0,-10.308039665222168,22.074283599853516,0.31119123101234436,10.253787994384766,0.08141712844371796,0.41246771812438965,38.20085144042969,285,31,188,10,23,487,13,416,25,162,9,319,8,141,13,154,63,618,3,334,23,80,0,237,8,59,11,72,4,536
0.0,-2.291429281234741,3.051853656768799,1.4760257005691528,19.669273376464844,0.5239195227622986,1.0768171548843384,17.774553298950195,171,87,325,15,49,377,7,357,81,273,9,511,11,201,38,235,40,563,5,328,81,244,4,482,9,172,37,206,21,534
0.0,-6.8476362228393555,1.0493450164794922,0.05387743562459946,1.9329026937484741,0.03730517625808716,0.020423119887709618,30.91130256652832,323,5,120,7,0,569,1,356,5,38,0,153,6,40,0,33,21,602,0,337,5,19,0,134,6,21,0,14,3,583
0.0,-3.466529130935669,60.619075775146484,0.8757520318031311,14.182662963867188,0.0280392374843359,0.28857386112213135,6.00769567489624,592,56,197,0,7,172,6,650,37,114,7,255,0,58,6,65,2,230,3,639,36,103,2,244,0,47,6,54,0,219
0.0,-4.543961048126221,13.456159591674805,3.0737178325653076,23.88873863220215,4.843624591827393,3.2225089073181152,32.235595703125,165,75,242,48,76,418,12,428,64,338,25,505,44,311,74,339,44,681,4,363,61,273,9,440,42,246,67,274,15,616
0.0,-3.738377094268799,31.490182876586914,0.5088567733764648,24.210166931152344,0.5121119618415833,0.7254132032394409,8.542373657226562,398,23,291,6,18,288,25,553,22,178,28,446,6,161,18,173,56,443,12,485,22,110,9,378,6,93,18,105,20,375
0.0,-3.080605983734131,6.122232913970947,1.7395401000976562,41.0107536315918,0.6757293343544006,0.7307575941085815,16.199838638305664,45,142,491,19,33,294,2,282,128,379,12,728,18,256,32,270,45,531,0,237,121,334,5,683,18,211,32,225,16,486
0.0,-0.8551669716835022,1.8893781900405884,0.8179360032081604,0.3016681969165802,1.404625415802002,1.165008783340454,11.59817886352539,520,68,55,17,32,332,6,658,52,206,3,193,17,155,32,170,28,470,4,628,51,176,2,163,15,125,31,140,5,440
0.0,-6.34808874130249,50.05793380737305,0.1610960066318512,80.76029205322266,0.06724069267511368,0.32567331194877625,3.267603635787964,248,14,679,0,15,68,21,335,14,101,16,766,0,87,15,102,21,155,4,294,14,60,4,725,0,46,15,61,9,114
0.0,-7.673946857452393,23.47420883178711,0.0668121948838234,9.384980201721191,0.005562183912843466,0.19380426406860352,11.966673851013184,472,25,223,0,16,288,1,512,16,65,3,263,0,40,8,56,12,328,0,499,16,52,2,250,0,27,7,43,2,315
0.0,-7.309518337249756,38.5515251159668,0.2742482125759125,32.818885803222656,0.11036405712366104,0.09361141175031662,11.279075622558594,367,25,426,1,10,195,2,446,25,104,1,505,1,80,6,89,44,274,1,412,25,70,0,471,1,46,6,55,12,240
0.0,-5.9400835037231445,33.40663528442383,0.7350088953971863,25.639875411987305,0.17811858654022217,0.7601840496063232,6.683526515960693,534,34,276,4,14,162,4,605,31,105,4,347,4,75,14,85,14,233,0,579,30,79,0,321,2,49,13,59,0,207
0.0,-6.159635066986084,2.433701515197754,1.412371277809143,3.1372528076171875,0.5496929287910461,0.397905170917511,69.73170471191406,121,80,74,11,26,712,10,308,77,267,3,261,11,198,26,213,60,899,2,251,76,210,0,204,11,141,26,156,15,842
0.0,-6.590861797332764,4.042940616607666,0.18214862048625946,5.469907760620117,0.021213345229625702,1.275852918624878,35.230079650878906,142,90,173,5,65,549,21,399,85,347,43,430,5,262,56,322,47,806,14,346,84,294,34,377,5,209,56,269,11,753
0.0,-4.590333938598633,25.926939010620117,1.3383281230926514,26.073949813842773,1.02700936794281,0.5829618573188782,4.645070552825928,359,40,369,18,15,223,13,483,39,164,6,493,18,142,14,139,34,347,7,444,39,125,3,454,17,103,14,100,5,308
0.0,-1.8324193954467773,56.0576057434082,1.2514184713363647,62.904884338378906,0.1620524525642395,3.2525298595428467,2.713564395904541,427,21,418,2,28,128,0,477,21,71,2,468,2,52,23,78,2,178,0,474,21,68,0,465,2,49,23,75,1,175
0.0,-4.74459981918335,45.24372863769531,0.7754018902778625,27.06983184814453,2.2807469367980957,0.46788865327835083,3.3281097412109375,554,36,266,20,22,126,11,657,34,139,4,369,19,123,21,125,14,229,8,639,34,121,3,351,19,105,20,107,1,211
0.0,-2.5535836219787598,8.871367454528809,2.1288633346557617,9.086468696594238,2.3295884132385254,0.9470939040184021,29.03108787536621,325,59,140,24,31,445,15,531,52,265,12,346,20,230,31,237,76,651,11,453,46,187,3,268,20,152,31,159,17,573
0.0,-4.950628757476807,22.264062881469727,0.8799225091934204,20.635147094726562,0.5916431546211243,0.1803610771894455,5.372990608215332,623,36,158,10,7,190,3,688,31,101,5,223,10,75,6,72,10,255,0,664,25,77,0,199,10,51,6,48,0,231
0.0,-6.529425144195557,30.868188858032227,9.645641694078222e-05,41.206111907958984,0.008917538449168205,0.0009353150380775332,8.901948928833008,323,3,522,0,0,176,0,332,3,12,6,531,0,9,0,9,0,185,0,328,3,8,2,527,0,5,0,5,0,181
0.0,-10.68429946899414,35.001319885253906,0.051682449877262115,23.35325813293457,0.15325945615768433,0.11815367639064789,42.36117935180664,484,1,174,8,5,352,4,509,1,26,1,199,2,33,2,30,15,377,1,491,1,8,0,181,1,15,2,12,2,359
0.0,-8.359527587890625,88.69268035888672,0.00011691140389302745,108.93024444580078,0.011339440010488033,0.000509497825987637,5.180062770843506,446,0,468,0,0,110,0,446,0,0,0,468,0,0,0,0,0,110,0,446,0,0,0,468,0,0,0,0,0,110
0.0,-7.694499492645264,186.62208557128906,0.22609888017177582,122.8004379272461,0.047779906541109085,0.00959857553243637,5.654014587402344,537,30,414,2,0,41,1,582,21,75,6,459,2,47,0,45,15,86,0,564,19,57,1,441,2,29,0,27,5,68
0.0,-7.0450897216796875,49.993614196777344,0.35233795642852783,50.01470184326172,0.044333282858133316,0.19375360012054443,9.005988121032715,319,51,396,1,9,248,6,422,43,154,6,499,1,104,9,112,38,351,4,370,35,102,0,447,1,52,9,60,2,299
0.0,-7.995589256286621,121.70283508300781,0.18397565186023712,89.55670928955078,0.3791908919811249,0.07960735261440277,20.082326889038086,445,7,404,11,5,152,0,508,7,70,12,467,11,74,5,68,28,215,0,482,7,44,5,441,11,48,5,42,9,189
0.0,-2.9534850120544434,22.438873291015625,0.6257860660552979,15.367871284484863,1.6339255571365356,0.05239815637469292,5.657594680786133,521,18,138,28,5,314,3,594,18,91,2,211,28,101,4,78,18,387,1,573,17,70,0,190,26,80,4,57,4,366
0.0,-10.16246509552002,24.16413116455078,1.4261819124221802,12.612244606018066,0.34343376755714417,0.7230218052864075,33.46342468261719,327,57,133,13,9,485,2,497,57,227,11,303,12,183,9,179,79,655,0,410,54,140,0,216,10,96,9,92,10,568
0.0,-9.357382774353027,61.9583740234375,0.6548376679420471,57.17924880981445,0.317455530166626,0.6625418066978455,32.6091423034668,292,38,316,6,28,344,2,460,34,206,5,484,6,174,24,196,97,512,1,364,28,110,1,388,5,78,22,100,15,416
0.0,-10.088932991027832,59.0479736328125,0.3128185272216797,69.10072326660156,0.1514829844236374,0.28876304626464844,30.17082977294922,255,18,373,5,11,362,2,348,18,111,9,466,5,98,11,104,48,455,1,301,18,64,3,419,5,51,11,57,8,408
0.0,-13.218988418579102,28.305395126342773,0.17326445877552032,37.68858337402344,0.07446372509002686,0.25872138142585754,70.80357360839844,129,33,236,6,13,607,1,199,25,103,7,306,1,76,10,83,26,677,0,162,21,66,0,269,1,39,6,46,5,640
0.0,-2.932431697845459,0.16939501464366913,0.14264413714408875,0.14145202934741974,0.17944175004959106,0.5633555054664612,12.662178039550781,589,5,63,4,12,351,2,642,5,58,0,116,2,57,10,65,34,404,0,616,5,32,0,90,1,31,10,39,11,378
0.0,-6.865588665008545,73.09970092773438,0.10494206845760345,99.06941986083984,0.06659805774688721,0.05041714012622833,8.300496101379395,368,3,548,2,1,102,4,385,3,20,6,565,2,19,1,18,1,119,0,372,2,7,0,552,1,6,1,5,0,106
0.0,-2.5050411224365234,8.653018951416016,2.745922327041626,4.480048656463623,2.9057352542877197,2.010002613067627,12.979333877563477,351,126,79,117,47,304,4,678,99,453,4,406,114,444,46,374,60,631,1,620,98,395,2,348,111,386,46,316,11,573
0.0,-9.28235912322998,138.05010986328125,4.689559773396468e-06,82.90536499023438,0.02839736081659794,0.0017832067096605897,9.765854835510254,563,0,409,2,0,50,4,575,0,12,3,421,2,14,0,12,3,62,3,568,0,5,0,414,2,7,0,5,0,55
0.0,-8.998434066772461,70.71273803710938,0.06792403757572174,54.457584381103516,0.27412572503089905,1.2955873012542725,11.827105522155762,317,1,413,11,8,274,3,362,1,46,5,458,11,56,8,53,17,319,1,338,1,22,1,434,9,32,8,29,1,295
0.0,-3.4133858680725098,7.4367995262146,0.8989320993423462,3.22650408744812,1.1274384260177612,2.771141767501831,20.988506317138672,374,51,89,33,64,413,13,606,48,283,3,321,32,265,58,296,78,645,5,530,46,207,0,245,28,189,58,220,19,569
0.0,-8.580233573913574,115.97181701660156,0.007902584969997406,29.025341033935547,0.014022735878825188,0.0022613287437707186,7.21755838394165,841,1,112,1,0,69,5,848,1,8,0,119,1,8,0,7,0,76,5,848,1,8,0,119,1,8,0,7,0,76
0.0,-6.738576889038086,46.253875732421875,2.3112893104553223,4.271093368530273,3.0523786544799805,6.150847911834717,21.851072311401367,429,56,43,58,65,373,10,687,52,314,1,301,53,316,65,323,77,631,7,607,48,234,1,221,52,236,61,243,9,551
0.0,-3.508767604827881,6.7268548011779785,2.5607168674468994,0.9090878367424011,2.4659199714660645,1.7716234922409058,26.01603889465332,345,62,32,95,47,443,3,647,56,364,1,334,92,397,47,349,103,745,1,547,56,264,0,234,85,297,47,249,13,645
0.0,-4.523466110229492,107.2876205444336,3.11196231842041,28.3255558013916,1.133724570274353,0.17253564298152924,10.644949913024902,668,43,185,34,8,86,14,771,31,146,3,288,34,137,6,111,15,189,1,739,30,114,0,256,33,105,6,79,1,157
0.0,-4.3125481605529785,32.291297912597656,0.28129178285598755,7.2912445068359375,0.5445336103439331,0.24389362335205078,2.5068564414978027,785,6,81,21,2,129,0,804,6,25,0,100,10,40,2,21,1,148,0,804,6,25,0,100,10,40,2,21,1,148
0.0,-1.7509541511535645,4.0655517578125,3.2746222019195557,2.1626715660095215,2.950223922729492,1.1312389373779297,27.623676300048828,140,94,36,49,23,682,0,404,87,358,2,300,38,313,22,287,115,946,0,309,87,263,2,205,36,218,20,192,24,851
0.0,-3.2068862915039062,22.663455963134766,1.6530895233154297,9.779827117919922,1.0429023504257202,0.8231798410415649,22.579313278198242,324,98,93,28,22,459,20,541,75,315,5,310,16,245,21,239,80,676,8,456,73,230,1,225,14,160,21,154,15,591
0.0,-3.750007152557373,23.07036781311035,3.5371835231781006,7.524077892303467,2.583794355392456,2.0635595321655273,23.899974822998047,358,97,71,86,41,371,9,640,93,379,2,353,81,368,35,323,62,653,1,573,88,312,0,286,76,301,34,256,16,586
0.0,-5.353519916534424,17.759428024291992,3.3525848388671875,9.1163911819458,4.194169521331787,1.7093565464019775,29.96303939819336,236,100,78,75,19,516,1,532,89,396,1,374,73,371,17,315,115,812,1,451,88,315,1,293,73,290,17,234,35,731
0.0,-5.549773693084717,18.525060653686523,2.34841754718218e-05,14.388745307922363,0.004236447624862194,0.005061196628957987,4.178460121154785,649,0,192,0,0,183,0,650,0,1,0,193,0,1,0,1,1,184,0,649,0,0,0,192,0,0,0,0,0,183
0.0,-5.14895486831665,37.73725891113281,0.28410688042640686,32.943973541259766,0.040859002619981766,0.2399980127811432,6.813546180725098,397,31,332,4,18,242,17,492,29,126,13,427,3,99,17,113,16,337,6,462,29,96,5,397,3,69,16,83,6,307
0.0,-3.76460599899292,12.18983268737793,0.6251563429832458,2.909494400024414,0.3786531686782837,0.28925821185112,8.916654586791992,516,58,77,20,17,336,3,650,46,192,1,211,12,154,17,151,55,470,2,601,46,143,1,162,10,105,16,102,10,421
0.0,-5.934383392333984,70.11405944824219,0.6307196617126465,48.862762451171875,0.10073751956224442,0.2552746832370758,4.339138507843018,493,59,412,0,19,41,5,579,38,145,14,498,0,86,17,105,12,127,3,555,38,121,3,474,0,62,17,81,1,103
0.0,-5.448297023773193,16.11095428466797,0.0001506103581050411,32.74835968017578,0.029385600239038467,0.004275922197848558,9.714850425720215,210,2,624,0,0,188,0,211,0,3,1,625,0,1,0,1,0,189,0,211,0,3,1,625,0,1,0,1,0,189
0.0,3.628228187561035,16.90764617919922,2.8533709049224854,12.564398765563965,3.419600248336792,3.805603265762329,2.7198896408081055,386,159,275,15,36,153,3,522,69,295,11,411,14,151,31,172,8,289,1,506,68,279,5,395,14,135,31,156,1,273
0.0,-3.631801128387451,8.816797256469727,0.4244723320007324,9.97301959991455,0.6460927128791809,1.3262355327606201,13.142910957336426,246,62,204,34,26,452,0,462,46,278,9,420,34,250,26,242,101,668,0,390,46,206,2,348,34,178,26,170,36,596
0.0,-1.350569725036621,11.47673511505127,1.6005809307098389,3.993812084197998,1.6298953294754028,3.0335283279418945,9.170860290527344,439,60,87,37,35,366,28,649,56,270,5,297,37,247,33,245,51,576,7,586,53,207,4,234,36,184,33,182,14,513
0.0,-5.190070152282715,82.90697479248047,0.051119614392519,24.702999114990234,0.015131513588130474,0.04802051931619644,5.582746982574463,503,63,417,0,23,18,1,549,19,109,8,463,0,46,18,69,0,64,1,546,19,106,5,460,0,43,18,66,0,61
0.0,-5.049657344818115,40.225582122802734,0.40767142176628113,21.2746639251709,0.08237453550100327,0.055422790348529816,7.716686248779297,422,56,344,1,19,182,6,488,26,122,6,410,1,67,11,85,16,248,3,472,26,106,4,394,1,51,10,69,6,232
0.0,-5.937253952026367,109.94209289550781,1.8838165998458862,7.533051490783691,1.2342283725738525,2.1686580181121826,26.531822204589844,521,76,63,16,23,325,19,746,69,301,2,288,16,241,22,248,97,550,4,628,58,183,0,170,13,123,19,130,13,432
0.0,-9.829695701599121,63.95883560180664,0.551190197467804,14.96676254272461,0.6412716507911682,1.7539376020431519,24.27619743347168,434,27,204,25,46,288,2,565,24,158,4,335,24,156,35,177,42,419,1,527,24,120,3,297,23,118,34,139,8,381
0.0,-5.427441596984863,22.865272521972656,1.3045378923416138,13.279646873474121,1.0048940181732178,3.296430826187134,21.147262573242188,286,68,182,51,44,393,4,523,59,305,3,419,51,288,43,281,77,630,2,455,58,237,1,351,45,220,43,213,20,562
0.0,-3.7251126766204834,28.705066680908203,0.47793081402778625,12.509003639221191,0.5520206689834595,0.06575646251440048,14.23440170288086,456,36,229,20,10,273,7,544,23,124,4,317,18,108,9,98,27,361,2,520,23,100,3,293,18,84,9,74,9,337
0.0,-4.311229705810547,37.00457763671875,1.405934453010559,7.198326110839844,2.855741024017334,3.203420877456665,7.62646484375,544,72,88,132,20,168,1,704,39,232,6,248,53,292,20,180,41,328,0,663,39,191,0,207,49,251,20,139,11,287
0.0,-3.8258581161499023,8.99673843383789,0.1197657510638237,13.825296401977539,0.422569215297699,0.004557487089186907,7.670745372772217,452,16,282,12,0,262,0,486,13,50,6,316,12,46,0,34,3,296,0,479,13,43,2,309,12,39,0,27,0,289
0.0,-5.759983062744141,54.102020263671875,1.6618226766586304,12.990557670593262,1.7670608758926392,0.5699883103370667,32.94667434692383,324,78,207,35,14,366,6,558,69,312,11,441,29,269,11,248,108,600,0,442,66,196,3,325,27,153,9,132,13,484
